Price,Close,High,Low,Open,Volume,RSI,SMA20,SMA50,MACD,Signal_Line
2025-06-23,3369.554931640625,3400.732351710977,3346.122051172553,3390.8032061585363,3123421.0,52.41979554630604,3411.5867553710937,,1.0869720752625653,5.789867936182493
2025-06-24,3366.37744140625,3417.711318302596,3358.0370560315137,3410.264459071302,3403048.0,51.25760041663954,3407.740380859375,,-2.906161064067419,4.050662136132511
2025-06-25,3420.39208984375,3425.555197020872,3375.909469527816,3383.157794223958,1757699.0,58.726034025293934,3406.6439453125,,-1.6927046903047085,2.9019887708450667
2025-06-26,3417.413330078125,3426.945164265374,3391.10109463089,3420.392073713661,2879106.0,56.98689461408605,3405.3788818359376,,-0.9603227868619797,2.1295264593036576
2025-06-27,3416.718505859375,3441.8390511551324,3406.689971497181,3430.5199217495656,1778433.0,52.55866746268344,3405.78662109375,,-0.4310030248411749,1.6174205624746913
2025-06-30,3437.47021484375,3440.3495701102424,3405.6969488486607,3415.526706051579,1468351.0,49.873284844590444,3407.901171875,3415.2016552734376,1.6440248903081738,1.622741428041388
2025-07-01,3405.399169921875,3460.307396022409,3389.314001814202,3430.5199578930915,2375183.0,44.42390366381103,3410.6068725585938,3417.929462890625,0.6926497315967026,1.4367230887524511
2025-07-02,3399.04443359375,3465.172397295891,3395.7677670907174,3462.4915764882385,3090585.0,48.42988367488473,3412.7118530273438,3420.6718994140624,-0.567553643786141,1.0358677422447329
2025-07-03,3376.703857421875,3410.959409470928,3373.5265793371623,3405.6969138623963,2531870.0,43.73080432825706,3414.1863403320312,3421.0267431640623,-3.330578847398101,0.1625784243161661
2025-07-04,3395.5693359375,3402.718272445599,3366.0798213348503,3383.852895387978,1109320.0,38.284858348012264,3415.9537353515625,3421.9832861328123,-3.952448411973819,-0.6604269429418309
2025-07-07,3387.526611328125,3401.824726672673,3384.249944744325,3394.079944495724,1639174.0,33.5867996014139,3415.4473510742187,3421.8656640625,-5.036210878278325,-1.53558373000913
2025-07-08,3382.0654296875,3400.732271367233,3369.356075198484,3380.873980731512,2325242.0,41.21306852130685,3412.632434082031,3421.72740234375,-6.263569626592016,-2.4811809093257073
2025-07-09,3359.82421875,3389.810188927958,3343.143206245001,3385.838530827281,2034938.0,42.030104583154184,3408.258642578125,3420.57349609375,-8.92802342582263,-3.7705494126250922
2025-07-10,3358.036865234375,3374.916411866245,3332.221088032692,3356.051036218861,3035012.0,38.91868414670158,3405.667138671875,3419.75388671875,-11.056395504234843,-5.227718630947043
2025-07-11,3242.85888671875,3311.369989959287,3237.9937024384426,3276.518592650877,7635550.0,29.822882022179215,3396.74580078125,3417.077529296875,-21.785911566866616,-8.53935721813096
2025-07-14,3199.865478515625,3248.816211355921,3177.326368074251,3242.8587244157825,3924009.0,26.466445604579505,3383.1627197265625,3413.0826806640625,-33.37362866271815,-13.506211507048398
2025-07-15,3229.256103515625,3236.3056515140206,3183.2841104563845,3183.2841104563845,2590889.0,20.965357642198327,3370.1058959960938,3409.5634521484376,-39.727446858468284,-18.750458577332378
2025-07-16,3221.08642578125,3232.842384321887,3208.632873739526,3215.008995091513,2540733.0,20.63985477561708,3359.8129638671876,3406.174111328125,-44.90448729425134,-23.98126432071617
2025-07-17,3197.275146484375,3229.9533162828457,3192.194243099011,3212.1199267281463,2947640.0,19.30509947054678,3349.68974609375,3402.23375,-50.3483163283704,-29.254674722247017
2025-07-18,3178.046875,3216.802476353157,3175.157748110912,3213.016547743236,3432645.0,13.557539824077182,3338.024267578125,3398.078095703125,-55.57353376606807,-34.51844653101123
2025-07-21,3146.464599609375,3185.718341629892,3140.287686436296,3178.14648468648,3844346.0,13.576182593704274,3326.8697509765625,3389.745830078125,-61.55343225962952,-39.925443676734886
2025-07-22,3147.859619140625,3168.283445003984,3142.8781981983425,3147.859619140625,3198036.0,14.166321281419897,3315.9438598632814,3383.5160888671876,-65.42579069215299,-45.02551307981851
2025-07-23,3167.287109375,3170.1762361812234,3145.866999671073,3147.859568015624,1922875.0,19.874506817975885,3303.288610839844,3377.0115673828127,-66.1643253919051,-49.253275542235826
2025-07-24,3136.302734375,3161.9071902624382,3128.332460590057,3153.339291883696,2934778.0,13.960002769289673,3289.2330810546873,3369.2732373046874,-68.46062807242924,-53.094746048274516
2025-07-25,3124.14794921875,3145.169399267611,3113.9858993305074,3128.332294086445,2568917.0,13.80221387851519,3274.6045532226562,3361.6579248046874,-70.4491600075562,-56.565628840130856
2025-07-28,3067.85791015625,3106.41405910006,3058.4926929668136,3098.443785696339,3374473.0,12.11023705500665,3256.1239379882813,3353.7533544921876,-75.69466067957819,-60.391435208020326
2025-07-29,3044.64453125,3062.5776469445354,3029.899476365581,3048.629668071008,4785312.0,12.081909298005897,3238.0862060546874,3345.788017578125,-80.79354572648072,-64.4718573117124
2025-07-30,3042.25341796875,3057.5960967882907,3035.877053384358,3048.629539319704,2880121.0,12.064383107646378,3220.2466552734377,3337.2335693359373,-84.05841859504835,-68.3891695683796
2025-07-31,3025.515869140625,3048.430405452322,3003.796825207198,3030.3975643658264,2968371.0,15.801758320445174,3202.687255859375,3329.3049169921874,-86.9936258077646,-72.1100608162566
2025-08-01,2991.84130859375,3025.515761579588,2988.8524561376125,3018.64125499041,2053847.0,16.279158121690998,3182.5008544921875,3319.962685546875,-90.9881989575606,-75.88568844451741
2025-08-04,3062.97607421875,3067.957495262713,2980.483936317478,2997.9189099713494,2519252.0,26.25890879582151,3166.273327636719,3311.5963330078125,-87.40637953551959,-78.18982666271785
2025-08-05,3052.51513671875,3066.064699458969,3030.696609505827,3062.976121071088,1927996.0,26.088218304425467,3149.7958129882813,3303.780537109375,-84.43851740103719,-79.43956481038173
2025-08-06,3021.032470703125,3055.40427380999,3014.75583192388,3051.618345400808,1487081.0,25.532536516983413,3132.8562255859374,3295.3547705078126,-83.66244472824656,-80.28414079395469
2025-08-07,3035.677978515625,3040.2609831608825,2999.7120213520734,3004.793168100796,2543076.0,29.980438509701443,3116.73828125,3287.2140380859373,-80.9326897918354,-80.41385059353084
2025-08-08,3025.1171875,3048.4303832570085,3013.759645138969,3036.7739069952254,2762140.0,31.86424573952678,3105.8511962890625,3279.545107421875,-78.71413931251118,-80.07390833732691
2025-08-11,3029.5009765625,3038.567016640599,3010.073435095005,3025.117180240026,1884215.0,32.46755501164135,3097.332971191406,3272.23154296875,-75.7292275381119,-79.20497217748391
2025-08-12,3024.120849609375,3084.8941835228848,3015.652434227984,3029.700138212843,3358232.0,27.87190960527022,3087.076208496094,3265.6882568359374,-72.95679422351122,-77.95533658668937
2025-08-13,3024.91796875,3033.087450352522,3017.3463549468943,3024.8184862723915,2148166.0,31.012264168219048,3077.267785644531,3259.0477197265627,-69.88965555015875,-76.34220037938324
2025-08-14,3011.06982421875,3044.544827820162,3007.881763385299,3022.726300858826,3342174.0,30.834247824669248,3067.95751953125,3252.324833984375,-67.79485865415427,-74.63273203433745
2025-08-18,3000.010986328125,3037.67057838676,2992.2399207869066,3035.179867843642,2945609.0,36.418081139332685,3059.0557250976562,3245.120625,-66.26323153141811,-72.95883193375359
2025-08-19,3004.992431640625,3013.7597814697733,2999.911528031773,3000.0110105142285,2650784.0,41.437213260127564,3051.9821166992188,3237.2673876953127,-63.910721976922105,-71.1492099423873
2025-08-20,3087.086181640625,3091.868151000454,2999.7118666132724,2999.7118666132724,4952358.0,57.202282013650354,3048.9434448242187,3230.2418359375,-54.79047122081374,-67.87746219807259
2025-08-21,3091.071533203125,3118.369623669664,3071.643990819241,3118.369623669664,3230726.0,60.98129732718472,3045.132666015625,3223.117265625,-46.70266299698733,-63.64250235785555
2025-08-22,3042.65185546875,3084.1968567150047,3038.666718788372,3074.532948911776,1593791.0,58.11066545492525,3040.4501220703123,3215.7729638671876,-43.69637542725013,-59.65327697173446
2025-08-25,3128.93017578125,3140.2877180773667,3065.666130699425,3075.8281806328096,3448370.0,60.04245258470071,3040.6892333984374,3209.9258544921877,-33.960456475293995,-54.51471287244637
2025-08-26,3145.468505859375,3150.2507187850565,3108.4067813438887,3117.373339366996,5522097.0,63.896291981374134,3044.5697631835938,3203.4046826171875,-24.626289011257995,-48.537028100208694
2025-08-28,3082.204345703125,3134.808199509225,3075.0311481917124,3133.313773226287,3116051.0,58.35144323711752,3046.44775390625,3195.24091796875,-22.079267004761732,-43.245475881119305
2025-08-29,3073.23779296875,3103.425252579535,3065.7656615419933,3081.507000394383,2271789.0,55.20859078071475,3047.99697265625,3188.1667724609374,-20.5474019242979,-38.705861089755025
2025-09-01,3101.0341796875,3119.4654366830314,3078.518060334719,3078.518060334719,1246862.0,60.04745915178398,3051.7728881835938,3182.192666015625,-16.89568872501104,-34.34382661680623
2025-09-02,3099.938232421875,3143.2765943406766,3091.569542586104,3109.502657862849,2185229.0,59.40406879148144,3057.177734375,3175.9643017578123,-13.929542396616398,-30.260969772768266
2025-09-03,3085.990234375,3130.225154484772,3076.525534705408,3118.2697443758125,1799774.0,58.075424632408,3058.3284423828127,3170.2930078125,-12.559558167036812,-26.720687451621977
2025-09-04,3084.197021484375,3106.414208311097,3079.3153260834893,3104.421639864457,1481391.0,57.71725774452799,3059.9125366210938,3164.6493994140624,-11.486128153175741,-23.67377559193273
2025-09-05,3036.97314453125,3091.868257451282,3017.3463946381216,3085.5918616420554,2802055.0,53.10261134017605,3060.7095703125,3156.9810205078124,-14.281372564181765,-21.79529498638254
2025-09-08,3007.781982421875,3053.5113296442846,3004.793129839144,3038.666792443431,2626187.0,50.89203641010694,3059.3147705078127,3148.7883935546874,-18.637267897037873,-21.16368956851361
2025-09-09,3038.06884765625,3048.6295571410296,3019.538108052908,3020.833326119296,2489301.0,53.588385455651135,3059.962353515625,3141.215400390625,-19.421569658818044,-20.815265586574498
2025-09-10,3098.44384765625,3111.0966082909868,3042.0540649039185,3045.0429174900823,2079428.0,51.293104167141514,3063.4094970703127,3134.434873046875,-14.998483350710103,-19.65190913940162
2025-09-11,3112.591064453125,3127.336119333051,3098.543603103421,3127.336119333051,2263446.0,52.39465256564484,3067.8330078125,3128.5787109375,-10.233626546023515,-17.768252620726003
2025-09-12,3121.7568359375,3137.0000329464906,3109.4030090679694,3132.3175458217547,1447167.0,59.64528324353287,3072.674951171875,3123.032958984375,-5.652681449056217,-15.345138386392046
2025-09-15,3100.336669921875,3122.354647788361,3084.4958486128803,3122.354647788361,1732539.0,45.85856628507537,3077.138293457031,3117.505615234375,-3.707935070068743,-13.017697723127387
2025-09-16,3134.01123046875,3138.295301272733,3097.5473738607,3116.377048374956,2573429.0,48.4190270593681,3083.8383056640623,3112.274453125,0.5442720234195804,-10.305303773817995
2025-09-17,3161.010498046875,3170.5746802441777,3130.723313005144,3140.287738435889,2418271.0,62.08372016411609,3091.639208984375,3107.744130859375,6.0233585043401945,-7.039571318186358
2025-09-18,3164.89599609375,3191.0983194206656,3149.652799058944,3173.1652036699406,2633138.0,64.27684837864724,3095.5296997070313,3103.4007421875,10.557402075702612,-3.520176639408564
2025-09-19,3157.423828125,3168.681888196503,3132.3175150101574,3158.220904129198,4901694.0,59.37706036148687,3098.847314453125,3099.352734375,13.393332761448619,-0.1374747592371275
2025-09-22,3062.37841796875,3095.355278998739,3053.6110683753386,3083.499594330073,3634901.0,45.24111341458812,3099.833642578125,3093.4395654296877,7.8806151636122195,1.466143225332742
2025-09-23,3051.0205078125,3069.252556548476,3040.6592498638747,3058.592364705798,3177741.0,45.54000901737963,3095.9381591796873,3089.6027978515626,2.5656827293259994,1.6860511261313933
2025-09-24,3024.120849609375,3045.640684813108,3021.7298649127106,3038.666695675492,1625714.0,42.79911788667372,3089.8707763671873,3086.0879052734376,-3.7735183533905,0.5941372302270147
2025-09-25,2946.41064453125,3018.3425546653493,2940.03452327195,3010.7706978406754,4974361.0,39.884242998075806,3083.081091308594,3080.43099609375,-14.896230508721146,-2.5039363175626175
2025-09-26,2888.32763671875,2943.820618304199,2880.5565712711505,2930.07184762513,3934636.0,37.466038403821635,3073.835583496094,3073.7758203125,-28.074250848980228,-7.617999223846141
2025-09-29,2885.338623046875,2918.4152081680195,2883.2463290392707,2905.164580331207,3110035.0,33.00069292536787,3063.0508056640624,3067.53708984375,-38.317416014187984,-13.75788258191451
2025-09-30,2877.667236328125,2904.467427717032,2874.379692997371,2900.183356935398,2253458.0,22.160808939562884,3051.937255859375,3061.5294970703126,-46.517984630997944,-20.3099029917312
2025-10-01,2903.371337890625,2913.932047598146,2855.948356386049,2880.257593329001,1952902.0,24.365236244591642,3042.8063110351563,3056.6676318359373,-50.3623424297125,-26.320390879327462
2025-10-03,2891.116943359375,2913.134920868619,2880.35726888136,2913.134920868619,2899519.0,21.952997941381327,3033.152307128906,3051.5327783203124,-53.77793237786818,-31.811899179035606
2025-10-06,2977.295654296875,2982.476526807699,2884.840673623438,2891.2167953135195,2112774.0,37.0734947855483,3030.1684326171876,3047.73294921875,-48.966455454738025,-35.24281043417609
2025-10-07,2962.650146484375,2993.335747140356,2944.517823489207,2983.87104765697,3062943.0,31.247264817010574,3027.9118408203126,3044.2598974609373,-45.80706013584995,-37.35566037451086
2025-10-08,3015.951416015625,3031.692754680041,2956.9714413047523,2963.9454305531126,4121889.0,34.98969270101759,3026.8059692382812,3042.095966796875,-38.55777950874881,-37.59608420135845
2025-10-09,3050.3232421875,3054.607312831964,3008.7782402976286,3022.726218895035,3211304.0,38.84794672375017,3024.399938964844,3041.7452734375,-29.696826735812465,-36.016232708249255
2025-10-10,3017.04736328125,3058.5923640088854,2995.726736367315,3038.666680855733,8817365.0,36.989850408011065,3019.62275390625,3041.193330078125,-25.070545510383454,-33.827095268676096
2025-10-13,2996.02587890625,3024.220771178156,2987.059320862895,3015.752355248321,2866865.0,42.872436064875565,3013.3362060546874,3040.268779296875,-22.83718950886032,-31.62911411671294
2025-10-14,2949.300048828125,3015.9513618688843,2944.517836211276,3009.774448720779,3611416.0,39.84485785135973,3005.784375,3038.744462890625,-24.554572938300225,-30.2142058810304
2025-10-15,2969.800048828125,2979.699951171875,2951.0,2971.0,4282226.0,44.50675391418905,2997.5738159179687,3038.3036376953123,-23.984949437852265,-28.968354592394775
2025-10-16,2970.699951171875,2975.0,2943.10009765625,2969.89990234375,3251495.0,52.90804703197335,2988.0582885742188,3036.458115234375,-23.193543380873052,-27.81339235009043
2025-10-17,2962.199951171875,2988.800048828125,2955.39990234375,2970.0,4374683.0,60.03592729366516,2977.923486328125,3034.6518115234376,-22.98724469371382,-26.848162818815112
2025-10-20,3015.199951171875,3023.0,2978.5,2985.5,3133039.0,65.53178293487136,2970.812292480469,3034.5351611328124,-18.335731537749325,-25.145676562601956
2025-10-21,3006.699951171875,3031.800048828125,2996.0,3031.10009765625,310644.0,65.40214999114079,2968.028369140625,3033.9556005859376,-15.160492096036705,-23.148639669288908
